# Nodes Rounds Time Sum 
65536 2048 71.129413 134217728
131072 2048 145.494108 268435456
1 4096 5.87e-4 4096
2 4096 0.012349 8192
4 4096 0.031894 16384
8 4096 0.052377 32768
16 4096 0.109852 65536
32 4096 0.05582 131072
64 4096 0.105454 262144
128 4096 0.177142 524288
256 4096 0.356392 1048576
512 4096 0.720872 2097152
1024 4096 1.452748 4194304
2048 4096 3.166636 8388608
4096 4096 8.147876 16777216
8192 4096 18.018647 33554432
16384 4096 35.696109 67108864
32768 4096 71.940317 134217728
65536 4096 144.302659 268435456
131072 4096 287.971491 536870912
1 8192 0.001067 8192
2 8192 0.025413 16384
4 8192 0.061287 32768
8 8192 0.116131 65536
16 8192 0.068823 131072
32 8192 0.08891 262144
64 8192 0.189811 524288
128 8192 0.359736 1048576
256 8192 0.709366 2097152
512 8192 1.452792 4194304
1024 8192 2.873404 8388608
2048 8192 6.101577 16777216
4096 8192 16.230467 33554432
8192 8192 35.191075 67108864
16384 8192 70.766732 134217728
32768 8192 143.301984 268435456
65536 8192 283.390332 536870912
131072 8192 581.303153 1073741824
1 16384 0.002135 16384
2 16384 0.051852 32768
4 16384 0.111572 65536
8 16384 0.091023 131072
16 16384 0.089454 262144
32 16384 0.188219 524288
64 16384 0.359221 1048576
128 16384 0.704353 2097152
256 16384 1.427519 4194304
512 16384 2.873662 8388608
1024 16384 5.849958 16777216
2048 16384 12.205373 33554432
4096 16384 32.986099 67108864
8192 16384 73.409373 134217728
16384 16384 143.301824 268435456
32768 16384 283.214934 536870912
65536 16384 568.477698 1073741824
131072 16384 1167.304958 2147483648
1 32768 0.004334 32768
2 32768 0.109212 65536
4 32768 0.134445 131072
8 32768 0.120175 262144
16 32768 0.174423 524288
32 32768 0.356957 1048576
64 32768 0.716855 2097152
128 32768 1.429518 4194304
256 32768 2.873019 8388608
512 32768 5.871502 16777216
1024 32768 11.909136 33554432
2048 32768 24.697382 67108864
4096 32768 68.2861 134217728
8192 32768 146.837563 268435456
16384 32768 287.477655 536870912
32768 32768 569.53004 1073741824
65536 32768 1163.103 2147483648
131072 32768 2339.171577 4294967296
1 65536 0.008139 65536
2 65536 0.221731 131072
4 65536 0.087858 262144
8 65536 0.175124 524288
16 65536 0.350381 1048576
32 65536 0.718363 2097152
64 65536 1.417305 4194304
128 65536 2.880624 8388608
256 65536 5.733579 16777216
512 65536 11.463643 33554432
1024 65536 23.219974 67108864
2048 65536 49.68811 134217728
4096 65536 137.039596 268435456
8192 65536 295.055712 536870912
16384 65536 576.171799 1073741824
32768 65536 1149.410401 2147483648
